row_id,label,group,source_path,source_sha256,official_split,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10
16,banded,d60dfcd0169498a0c5de561c868467bef979d4ce7db0be58bf72b72b99811732,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0025.jpg,d60dfcd0169498a0c5de561c868467bef979d4ce7db0be58bf72b72b99811732,1:val|2:train|3:test|4:test|5:train|6:val|7:train|8:train|9:test|10:test,val,train,test,test,train,val,train,train,test,test
17,banded,475df1bafce6b3744b174fd9ee17fdda517dc4ea93b205361b149a63183baf4e,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0030.jpg,475df1bafce6b3744b174fd9ee17fdda517dc4ea93b205361b149a63183baf4e,1:val|2:test|3:val|4:test|5:val|6:train|7:val|8:train|9:test|10:train,val,test,val,test,val,train,val,train,test,train
18,banded,76f40e982d461f942ed2405081bcd4dc97929f7ee17284b4b5bb0a5f92b3fe50,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0033.jpg,76f40e982d461f942ed2405081bcd4dc97929f7ee17284b4b5bb0a5f92b3fe50,1:train|2:val|3:val|4:test|5:train|6:val|7:train|8:train|9:test|10:val,train,val,val,test,train,val,train,train,test,val
19,banded,4a17d3ed5af3fec8091922aac5853d42fecac6d3ba78551b23efc7ad8d6c9fdf,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0034.jpg,4a17d3ed5af3fec8091922aac5853d42fecac6d3ba78551b23efc7ad8d6c9fdf,1:test|2:test|3:train|4:test|5:val|6:train|7:val|8:val|9:train|10:test,test,test,train,test,val,train,val,val,train,test
20,banded,95bc34b04d55067fe505ac89b31dfd2f3d561bc0a841cdddb7b064beed9d0ab5,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0036.jpg,95bc34b04d55067fe505ac89b31dfd2f3d561bc0a841cdddb7b064beed9d0ab5,1:test|2:train|3:test|4:train|5:val|6:val|7:val|8:test|9:train|10:train,test,train,test,train,val,val,val,test,train,train
21,banded,f7f42871b2cfdb065b43f9b18dcbc5454a6c47fef8a8688ed26886c874ad86df,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0037.jpg,f7f42871b2cfdb065b43f9b18dcbc5454a6c47fef8a8688ed26886c874ad86df,1:val|2:val|3:train|4:val|5:train|6:val|7:train|8:test|9:test|10:val,val,val,train,val,train,val,train,test,test,val
22,banded,a8dbe50d3637df9b0e467bbae560070652c53ea8890ec6e6a40bc3fcc473acbd,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0039.jpg,a8dbe50d3637df9b0e467bbae560070652c53ea8890ec6e6a40bc3fcc473acbd,1:train|2:train|3:val|4:train|5:val|6:test|7:train|8:test|9:train|10:test,train,train,val,train,val,test,train,test,train,test
23,banded,d7e71e3ad593216bff2c464c997226b9be7b21ea880cc9620f4f6310af932886,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0041.jpg,d7e71e3ad593216bff2c464c997226b9be7b21ea880cc9620f4f6310af932886,1:val|2:train|3:val|4:train|5:val|6:test|7:train|8:test|9:train|10:test,val,train,val,train,val,test,train,test,train,test
24,banded,85ab651050470e98ae3add9cd8ff1e6b31b799f010f32305424c002db467c6fd,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0042.jpg,85ab651050470e98ae3add9cd8ff1e6b31b799f010f32305424c002db467c6fd,1:test|2:test|3:test|4:train|5:test|6:train|7:val|8:train|9:test|10:train,test,test,test,train,test,train,val,train,test,train
25,banded,42b82ae38ebfd6fa97335644e8a84a02efecd4374adf97f0e26ad739e254d4b1,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0043.jpg,42b82ae38ebfd6fa97335644e8a84a02efecd4374adf97f0e26ad739e254d4b1,1:train|2:val|3:val|4:val|5:test|6:train|7:test|8:val|9:val|10:train,train,val,val,val,test,train,test,val,val,train
26,banded,0d90db6eb9b28601cc0e9d0cca6c6d1a80e78e3f8def7f586a36f9c82b8d03b9,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0044.jpg,0d90db6eb9b28601cc0e9d0cca6c6d1a80e78e3f8def7f586a36f9c82b8d03b9,1:test|2:val|3:test|4:test|5:val|6:val|7:train|8:train|9:train|10:train,test,val,test,test,val,val,train,train,train,train
27,banded,5d0d670a46038c45cee6f9d288fb81ef1d2b6ba34fe8ccf11e80d17971f349a8,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0045.jpg,5d0d670a46038c45cee6f9d288fb81ef1d2b6ba34fe8ccf11e80d17971f349a8,1:train|2:train|3:test|4:val|5:train|6:train|7:test|8:val|9:val|10:train,train,train,test,val,train,train,test,val,val,train
28,banded,cb72cd75317c2390d7e7d7e4de095176a1e5b787cc97b2eb704878d325f0668e,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0046.jpg,cb72cd75317c2390d7e7d7e4de095176a1e5b787cc97b2eb704878d325f0668e,1:train|2:test|3:val|4:test|5:test|6:train|7:val|8:val|9:val|10:train,train,test,val,test,test,train,val,val,val,train
29,banded,2c6030fb43eeb4ad0f07b644e16ed18e333cb08b98b8e7b5b66d3930c06daa9a,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0047.jpg,2c6030fb43eeb4ad0f07b644e16ed18e333cb08b98b8e7b5b66d3930c06daa9a,1:test|2:val|3:train|4:val|5:test|6:test|7:test|8:val|9:test|10:val,test,val,train,val,test,test,test,val,test,val
30,banded,2950069fcd36e4fec63ace577e6f3c9c79658909297472a9fa4198b3ac8d83a0,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0049.jpg,2950069fcd36e4fec63ace577e6f3c9c79658909297472a9fa4198b3ac8d83a0,1:train|2:val|3:test|4:test|5:val|6:train|7:val|8:train|9:val|10:val,train,val,test,test,val,train,val,train,val,val
31,banded,60fa43ebf6c59b262f915155498919c089e4375c7ae482795c69f20a4f693461,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0051.jpg,60fa43ebf6c59b262f915155498919c089e4375c7ae482795c69f20a4f693461,1:train|2:val|3:test|4:val|5:train|6:train|7:test|8:val|9:train|10:val,train,val,test,val,train,train,test,val,train,val
32,banded,dabbff47a1ba159cacf455e71f2752f5ef5cbeb68314d3f83409f5dce6f6b6e8,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0053.jpg,dabbff47a1ba159cacf455e71f2752f5ef5cbeb68314d3f83409f5dce6f6b6e8,1:test|2:val|3:val|4:train|5:test|6:test|7:test|8:val|9:train|10:test,test,val,val,train,test,test,test,val,train,test
33,banded,5753c7fb1493bff93a5af4fa287926f773f9d6749e97a71f72e0fa38a0ad3afc,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0055.jpg,5753c7fb1493bff93a5af4fa287926f773f9d6749e97a71f72e0fa38a0ad3afc,1:val|2:train|3:val|4:train|5:train|6:test|7:train|8:train|9:val|10:test,val,train,val,train,train,test,train,train,val,test
34,banded,f1e37c7dafc2cba8e90e64e2457c4985226717c335e7dfa7ebedaec6e731d5aa,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0057.jpg,f1e37c7dafc2cba8e90e64e2457c4985226717c335e7dfa7ebedaec6e731d5aa,1:train|2:test|3:train|4:val|5:train|6:test|7:val|8:train|9:val|10:val,train,test,train,val,train,test,val,train,val,val
35,banded,2bb576472cab78487168096382d914c64a87433485b8a1784e81dc7cf6af1bbb,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0058.jpg,2bb576472cab78487168096382d914c64a87433485b8a1784e81dc7cf6af1bbb,1:test|2:val|3:val|4:train|5:val|6:test|7:val|8:train|9:val|10:val,test,val,val,train,val,test,val,train,val,val
36,banded,0d3d013ffd59c0ee5081d5706978bbb08d582ba62d4be7f346cd03a70ea3fb75,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0059.jpg,0d3d013ffd59c0ee5081d5706978bbb08d582ba62d4be7f346cd03a70ea3fb75,1:train|2:test|3:train|4:test|5:train|6:val|7:test|8:train|9:train|10:val,train,test,train,test,train,val,test,train,train,val
37,banded,309077ac974b61695b3eab867237cadc2143157c1fb31185fbbadbc74f993642,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0060.jpg,309077ac974b61695b3eab867237cadc2143157c1fb31185fbbadbc74f993642,1:train|2:val|3:train|4:test|5:test|6:train|7:val|8:train|9:val|10:val,train,val,train,test,test,train,val,train,val,val
38,banded,15b716c4221e9860e53d1c9f5a27b2825ef50dd5f9b75103a77e2fdc18fe9e7b,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0061.jpg,15b716c4221e9860e53d1c9f5a27b2825ef50dd5f9b75103a77e2fdc18fe9e7b,1:train|2:val|3:test|4:train|5:test|6:val|7:val|8:val|9:train|10:test,train,val,test,train,test,val,val,val,train,test
39,banded,91574c9e7425bb1b087c9f8649fcedec2981d38fb44b3f3ea9f4b0f0b306dc0d,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0062.jpg,91574c9e7425bb1b087c9f8649fcedec2981d38fb44b3f3ea9f4b0f0b306dc0d,1:test|2:val|3:test|4:val|5:train|6:val|7:train|8:val|9:train|10:test,test,val,test,val,train,val,train,val,train,test
40,banded,f6f3ad643346d3cdd484a51e7d7bea884931c03c2609757cd6f7b2be11ad068f,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0063.jpg,f6f3ad643346d3cdd484a51e7d7bea884931c03c2609757cd6f7b2be11ad068f,1:val|2:train|3:test|4:train|5:test|6:test|7:test|8:train|9:test|10:val,val,train,test,train,test,test,test,train,test,val
41,banded,5b916cd455b74e5684a94fdbd25f93dbeaaacbd1946b3d41b3e20ce22a6e0c15,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0064.jpg,5b916cd455b74e5684a94fdbd25f93dbeaaacbd1946b3d41b3e20ce22a6e0c15,1:train|2:train|3:val|4:train|5:train|6:val|7:train|8:val|9:val|10:train,train,train,val,train,train,val,train,val,val,train
42,banded,3b8445fd19cc6e6a0ebaab4f0ca8d77c6852ac474b06d7d5146c64236a47f9a3,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0066.jpg,3b8445fd19cc6e6a0ebaab4f0ca8d77c6852ac474b06d7d5146c64236a47f9a3,1:val|2:train|3:test|4:test|5:test|6:val|7:test|8:test|9:val|10:test,val,train,test,test,test,val,test,test,val,test
43,banded,cac8921592342c71ed7941e11954cb899d11679f7046e2b80cbced8f7c1edc07,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0067.jpg,cac8921592342c71ed7941e11954cb899d11679f7046e2b80cbced8f7c1edc07,1:val|2:test|3:test|4:test|5:test|6:val|7:val|8:val|9:test|10:val,val,test,test,test,test,val,val,val,test,val
44,banded,1e7cf4f0de1137b3611600e489ec625096bae3e9c8a41a167f090664e989ba54,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0068.jpg,1e7cf4f0de1137b3611600e489ec625096bae3e9c8a41a167f090664e989ba54,1:val|2:val|3:val|4:val|5:train|6:test|7:test|8:val|9:train|10:test,val,val,val,val,train,test,test,val,train,test
45,banded,8a23bcbb5dda6c32c67d4cee1c26d86f6a9098ff65be0ba1d745e320466d4e2f,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0069.jpg,8a23bcbb5dda6c32c67d4cee1c26d86f6a9098ff65be0ba1d745e320466d4e2f,1:val|2:test|3:val|4:test|5:val|6:test|7:train|8:test|9:val|10:train,val,test,val,test,val,test,train,test,val,train
46,banded,e4854fda735acc072d0ced7623ac6d485bf2cc2d9ef142429d8f5bd5ff1b5d5a,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0072.jpg,e4854fda735acc072d0ced7623ac6d485bf2cc2d9ef142429d8f5bd5ff1b5d5a,1:test|2:test|3:train|4:test|5:train|6:test|7:val|8:train|9:val|10:val,test,test,train,test,train,test,val,train,val,val
47,banded,3264e9001ffa7009b41cdc361290cdeb506584530dac414927f05ed78995df18,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0073.jpg,3264e9001ffa7009b41cdc361290cdeb506584530dac414927f05ed78995df18,1:val|2:train|3:train|4:test|5:val|6:train|7:val|8:val|9:test|10:train,val,train,train,test,val,train,val,val,test,train
48,banded,6cf5e6047c21059e19c3bb8eb23bbb5b491207d551fcf0dec99d1c544d0ad2a4,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0074.jpg,6cf5e6047c21059e19c3bb8eb23bbb5b491207d551fcf0dec99d1c544d0ad2a4,1:val|2:val|3:val|4:val|5:train|6:val|7:val|8:test|9:train|10:train,val,val,val,val,train,val,val,test,train,train
49,banded,0a46f42992561825580c66ee927a61c0627a150fda14b814e6e998a6f471d27e,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0075.jpg,0a46f42992561825580c66ee927a61c0627a150fda14b814e6e998a6f471d27e,1:train|2:test|3:train|4:train|5:val|6:test|7:test|8:train|9:test|10:test,train,test,train,train,val,test,test,train,test,test
50,banded,5f48a942391b6ac24008bb3565d7554ed678d35fdc210252ae90a1f0bad25662,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0076.jpg,5f48a942391b6ac24008bb3565d7554ed678d35fdc210252ae90a1f0bad25662,1:train|2:val|3:train|4:val|5:train|6:test|7:test|8:val|9:test|10:test,train,val,train,val,train,test,test,val,test,test
51,banded,5f1470ffed4f34955a480da52ad1bfd7de925094c93315d5554581e722f3db3c,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0077.jpg,5f1470ffed4f34955a480da52ad1bfd7de925094c93315d5554581e722f3db3c,1:test|2:train|3:test|4:val|5:val|6:val|7:test|8:test|9:train|10:val,test,train,test,val,val,val,test,test,train,val
52,banded,e7ff39fe72044fdf171823b5d438020f78019b90f36c7c2a42542c578e3acccd,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0078.jpg,e7ff39fe72044fdf171823b5d438020f78019b90f36c7c2a42542c578e3acccd,1:test|2:train|3:val|4:train|5:test|6:test|7:train|8:train|9:train|10:train,test,train,val,train,test,test,train,train,train,train
53,banded,ecd493f7e4e2e66295acb9c24f97461ef0392ad85fb9bf8d2ea9f90f1e112735,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0079.jpg,ecd493f7e4e2e66295acb9c24f97461ef0392ad85fb9bf8d2ea9f90f1e112735,1:val|2:train|3:val|4:test|5:test|6:test|7:val|8:test|9:test|10:train,val,train,val,test,test,test,val,test,test,train
54,banded,fbd01a5f088225523fa445b0dba1bf1c740b05bb7e4a338a2faf69e4b7e7158f,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0081.jpg,fbd01a5f088225523fa445b0dba1bf1c740b05bb7e4a338a2faf69e4b7e7158f,1:val|2:val|3:test|4:test|5:val|6:test|7:val|8:test|9:val|10:train,val,val,test,test,val,test,val,test,val,train
55,banded,4539899f30ccca99d283bb56374aef84085f48fbc7f882e6aa212eacd77796da,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0082.jpg,4539899f30ccca99d283bb56374aef84085f48fbc7f882e6aa212eacd77796da,1:test|2:test|3:test|4:train|5:train|6:val|7:val|8:val|9:train|10:test,test,test,test,train,train,val,val,val,train,test
56,banded,cefc07c136e291174391a33cb0adacbc6c069c24bf61d48247770e435376c1f9,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0083.jpg,cefc07c136e291174391a33cb0adacbc6c069c24bf61d48247770e435376c1f9,1:test|2:train|3:train|4:test|5:val|6:test|7:test|8:test|9:val|10:test,test,train,train,test,val,test,test,test,val,test
57,banded,be0032fe9348e32bf0a0133a43d2d507c7f5317e5dd2590636b473b6a530fcfc,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0085.jpg,be0032fe9348e32bf0a0133a43d2d507c7f5317e5dd2590636b473b6a530fcfc,1:train|2:train|3:val|4:val|5:test|6:val|7:test|8:val|9:test|10:val,train,train,val,val,test,val,test,val,test,val
58,banded,1752c7f6ecc082e0de22ae268e9848879c96e182d4e8036077a93c9852ae5a56,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0086.jpg,1752c7f6ecc082e0de22ae268e9848879c96e182d4e8036077a93c9852ae5a56,1:train|2:val|3:test|4:test|5:train|6:train|7:val|8:test|9:test|10:val,train,val,test,test,train,train,val,test,test,val
59,banded,a0a21b51dc9687d04a6e85fe201b94352aa532724a639d8b720a8c53c268dfac,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0087.jpg,a0a21b51dc9687d04a6e85fe201b94352aa532724a639d8b720a8c53c268dfac,1:train|2:test|3:val|4:val|5:train|6:val|7:test|8:val|9:train|10:test,train,test,val,val,train,val,test,val,train,test
60,banded,c78b4e776e5aca5699fa5ff3a6d956ae54aae5f31d9a62d7e7062326dc3ad6f3,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0088.jpg,c78b4e776e5aca5699fa5ff3a6d956ae54aae5f31d9a62d7e7062326dc3ad6f3,1:test|2:test|3:val|4:test|5:train|6:test|7:val|8:val|9:val|10:val,test,test,val,test,train,test,val,val,val,val
61,banded,7c0b8ff80c7070d13eecdb0c50bac2857fa3b68dbd05070441e3c124222d2bb9,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0089.jpg,7c0b8ff80c7070d13eecdb0c50bac2857fa3b68dbd05070441e3c124222d2bb9,1:test|2:test|3:train|4:train|5:test|6:train|7:train|8:val|9:train|10:train,test,test,train,train,test,train,train,val,train,train
62,banded,e7795de0194d4e65d7d5d55de7bb0ec6d3f9a8f4cd3ada645b8073351a8691fe,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0090.jpg,e7795de0194d4e65d7d5d55de7bb0ec6d3f9a8f4cd3ada645b8073351a8691fe,1:train|2:train|3:train|4:val|5:test|6:val|7:train|8:val|9:test|10:train,train,train,train,val,test,val,train,val,test,train
63,banded,4911695350a839b18fe23c70855a30f42884b73959b3b0daaa532c901346f272,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0092.jpg,4911695350a839b18fe23c70855a30f42884b73959b3b0daaa532c901346f272,1:train|2:test|3:train|4:val|5:val|6:val|7:train|8:test|9:train|10:test,train,test,train,val,val,val,train,test,train,test
64,banded,af3eacc52fc0ba330983e2677aba0647508450cbb785606a30787292f3296fba,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0093.jpg,af3eacc52fc0ba330983e2677aba0647508450cbb785606a30787292f3296fba,1:train|2:val|3:val|4:test|5:val|6:val|7:test|8:train|9:val|10:test,train,val,val,test,val,val,test,train,val,test
65,banded,b5c35526217bdc732d1233097951df0bd3179a92a2b705c538f231a7019c5c13,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0094.jpg,b5c35526217bdc732d1233097951df0bd3179a92a2b705c538f231a7019c5c13,1:train|2:test|3:test|4:test|5:test|6:train|7:val|8:test|9:val|10:test,train,test,test,test,test,train,val,test,val,test
66,banded,ef1897d06f98fb03bfb21ef62518ed85f2639e697b684687013ec5e8f958d9a1,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0096.jpg,ef1897d06f98fb03bfb21ef62518ed85f2639e697b684687013ec5e8f958d9a1,1:val|2:train|3:test|4:test|5:test|6:test|7:test|8:test|9:val|10:train,val,train,test,test,test,test,test,test,val,train
67,banded,226e5d01e4d568598116655484a1935237bca3fa53b540ee2e93ca9fa3e6b0af,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0097.jpg,226e5d01e4d568598116655484a1935237bca3fa53b540ee2e93ca9fa3e6b0af,1:val|2:train|3:train|4:test|5:test|6:train|7:val|8:test|9:val|10:val,val,train,train,test,test,train,val,test,val,val
68,banded,bcfc11badfc3d09ab48298d62d53aa2fbcb2e1f03c823415e1805c0108bab9d4,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0098.jpg,bcfc11badfc3d09ab48298d62d53aa2fbcb2e1f03c823415e1805c0108bab9d4,1:val|2:test|3:train|4:train|5:val|6:test|7:train|8:test|9:test|10:train,val,test,train,train,val,test,train,test,test,train
69,banded,aa89721da6cd329244e07751dd8e6a6c20dc67771d18db84b5a1e6cfce7c997a,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0099.jpg,aa89721da6cd329244e07751dd8e6a6c20dc67771d18db84b5a1e6cfce7c997a,1:test|2:val|3:test|4:train|5:test|6:train|7:train|8:val|9:test|10:val,test,val,test,train,test,train,train,val,test,val
70,banded,d1d64c6b1981b14b2d6b6c508a05dbaf088bba201b79aeb7e3c3ca795392c5e5,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0100.jpg,d1d64c6b1981b14b2d6b6c508a05dbaf088bba201b79aeb7e3c3ca795392c5e5,1:test|2:test|3:test|4:test|5:train|6:val|7:val|8:test|9:test|10:train,test,test,test,test,train,val,val,test,test,train
71,banded,266e7667ac8806727fbd0ccb800c9fc3d465d7f69702f7d0f293be33959a6f06,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0101.jpg,266e7667ac8806727fbd0ccb800c9fc3d465d7f69702f7d0f293be33959a6f06,1:test|2:val|3:val|4:train|5:val|6:val|7:train|8:test|9:train|10:test,test,val,val,train,val,val,train,test,train,test
72,banded,4d63aabef58eb48d5b855775b2d6c5197960c8dd3147fba1f4a67e1ad66c070e,data/confirmatory_sources/DTD/extracted/dtd/images/banded/banded_0102.jpg,4d63aabef58eb48d5b855775b2d6c5197960c8dd3147fba1f4a67e1ad66c070e,1:val|2:test|3:test|4:test|5:val|6:train|7:train|8:val|9:val|10:val,val,test,test,test,val,train,train,val,val,val
